[2026-04-19 16:21:15] [INFO] [Dinastia Jaw] # | inner_vo1d usou: /help
[2026-04-19 16:21:23] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:21:23] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:21:23] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:21:23] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:22:06] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:22:06] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:25:35] [INFO] [Dinastia Jaw] # | inner_vo1d usou: /help
[2026-04-19 16:25:41] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:25:41] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:41:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: /help
[2026-04-19 16:41:12] [INFO] [Dinastia Jaw] # | inner_vo1d usou: /help
[2026-04-19 16:41:29] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:41:29] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:41:29] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:41:29] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:47:56] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: /help
[2026-04-19 16:47:56] [INFO] [Dinastia Jaw] # | inner_vo1d usou: /help
[2026-04-19 16:48:02] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:48:02] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:48:02] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:48:02] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:53:33] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:53:33] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:53:33] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:53:33] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:57:13] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:57:13] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:57:13] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 16:57:13] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:22] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:22] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:04:22] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:06:30] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:06:30] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 17:06:31] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:46:28] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:46:28] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:46:38] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: /help
[2026-04-19 18:47:53] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:47:53] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:48:10] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: ping
[2026-04-19 18:48:10] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: ping
[2026-04-19 18:51:09] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: /help
[2026-04-19 18:52:09] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: ping
[2026-04-19 18:52:09] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: ping
[2026-04-19 18:56:35] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 18:56:35] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 19:14:38] [INFO] [] #teste-geral | inner_vo1d usou: /help
[2026-04-19 19:19:45] [INFO] [] #teste-geral | inner_vo1d usou: /help
[2026-04-19 19:20:13] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: help
[2026-04-19 19:20:13] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: help
[2026-04-19 19:20:29] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: scan
[2026-04-19 19:20:29] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: scan
[2026-04-19 19:21:46] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: scan
[2026-04-19 19:21:46] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: scan
[2026-04-19 19:27:20] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: help
[2026-04-19 19:27:21] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: help
[2026-04-19 19:27:38] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: scan
[2026-04-19 19:27:47] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: scan
[2026-04-19 19:32:26] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: embed
[2026-04-19 19:32:41] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: embed
[2026-04-19 19:33:49] [INFO] [Teste de bots] # | inner_vo1d usou: /aviso → #teste-geral
[2026-04-19 19:37:52] [INFO] [Teste de bots] # | tawanzzz_ usou: /avatar → tawanzzz_
[2026-04-19 19:38:04] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: /info
[2026-04-19 19:38:47] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: /ping
[2026-04-19 19:38:47] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: ping
[2026-04-19 19:39:03] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: ping
[2026-04-19 19:39:05] [INFO] [Teste de bots] #teste-geral | tawanzzz_ usou: /clear (10 msgs)
[2026-04-19 19:39:07] [INFO] [Teste de bots] #teste-geral | inner_vo1d usou: ping
[2026-04-19 19:39:31] [INFO] [Teste de bots] # | tawanzzz_ usou: /aviso → #teste-geral
[2026-04-19 23:05:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 23:05:12] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: help
[2026-04-19 23:05:30] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: /info
[2026-04-19 23:07:26] [INFO] [Dinastia Jaw] #test_bot | inner_vo1d usou: reloadall
